Rxn_name	Comp_correction	Species	Ratelaw						
vbR	Cytoplasm	  ; Ribosome	kbR_1+(kbR_2*((pS6K^kbR_3)/((kbR_4^kbR_3)+(pS6K^kbR_3))))	4.200500E-03	4.000000E-02	5.000000E+00	4.864145E+00		
vdR	Cytoplasm	 Ribosome ; 	2.223190E-06						
vTL1	Nucleus	  ; p53inac	kTL1_1*m_TP53*(EIF4E/(kTL1_2+EIF4E))	1.407475E+02	1.000000E+02				
vTL2	Nucleus	  ; MDM2	(kTL2_1+kTL2_2*MDM2pro)*m_MDM2*(EIF4E/(kTL2_3+EIF4E))	5.004356E+00	2.251960E-02	1.000000E+02			
vTL3	Nucleus	  ; Wip1	kTL3_1*Wip1pro*m_PPM1D*(EIF4E/(kTL3_2+EIF4E))	1.563861E-01	1.000000E+02				
vTL4	Cytoplasm	  ; ATMinac	kTL4_1*m_ATM*(EIF4E/(kTL4_2+EIF4E))	4.535080E-03	1.000000E+02				
vTL5	Cytoplasm	  ; ATRinac	kTL5_1*m_ATR*(EIF4E/(kTL5_2+EIF4E))	2.177823E-02	1.000000E+02				
vTL6	Nucleus	  ; pRB	kTL6*m_RB1	7.014870E+01					
vTL7	Nucleus	  ; E2F	kTL7*m_E2F1	4.391771E+00					
vTL8	Nucleus	  ; E2F	kTL8*m_E2F2	4.391771E+00					
vTL9	Nucleus	  ; E2F	kTL9*m_E2F3	4.391771E+00					
vTL10	Nucleus	  ; Cd	(kTL10_1+kTL10_2*E2F*(kTL10_3/(kTL10_3+pRB))*(kTL10_4/(kTL10_4+pRBp)))*m_CCND1*(EIF4E/(kTL10_5+EIF4E))	2.692590E+01	1.180000E-02	1.000000E+01	2.000000E+02	1.000000E+02	
vTL11	Nucleus	  ; Cd	(kTL11_1+kTL11_2*E2F*(kTL11_3/(kTL11_3+pRB))*(kTL11_4/(kTL11_4+pRBp)))*m_CCND2*(EIF4E/(kTL11_5+EIF4E))	2.692590E+01	1.180000E-02	1.000000E+01	2.000000E+02	1.000000E+02	
vTL12	Nucleus	  ; Cd	(kTL12_1+kTL12_2*E2F*(kTL12_3/(kTL12_3+pRB))*(kTL12_4/(kTL12_4+pRBp)))*m_CCND3*(EIF4E/(kTL12_5+EIF4E))	2.692590E+01	1.180000E-02	1.000000E+01	2.000000E+02	1.000000E+02	
vTL13	Nucleus	  ; Ce	kTL13_1*E2F*(kTL13_2/(kTL13_2+pRB))*(kTL13_3/(kTL13_3+pRBp))*m_CCNE1	1.274000E-01	1.000000E+01	2.000000E+02			
vTL14	Nucleus	  ; Ce	kTL14_1*E2F*(kTL14_2/(kTL14_2+pRB))*(kTL14_3/(kTL14_3+pRBp))*m_CCNE2	1.274000E-01	1.000000E+01	2.000000E+02			
vTL15	Nucleus	  ; Skp2	kTL15*m_SKP2	1.317530E+01					
