speciesId	compartment	initialConcentration	annotation	Source Mapping	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
cyt_implicit_Ribosome_	Cytoplasm	1897.371866	GO:0005840	Ribosome													
nuc_prot_i_TP53_	Nucleus	296.618651	P04637	p53inac	TP53 	ENSG00000141510											
nuc_prot_a_TP53_	Nucleus	6.24613433	P04637	p53ac	TP53 	ENSG00000141510											
nuc_prot_MDM2_	Nucleus	205.6185213	Q00987	MDM2	MDM2	ENSG00000135679											
nuc_prot_PPM1D_	Nucleus	2.230730408	O15297	Wip1	PPM1D	ENSG00000170836											
nuc_prot_p_ATM_	Nucleus	7.09E-76	Q13315	ATMP	ATM	ENSG00000149311											
nuc_prot_a_ATR_	Nucleus	2.45E-108	Q13535	ATRac	ATR 	ENSG00000175054											
nuc_implicit_MDM2product1_	Nucleus	6.24613433	Q00987	MDM2product1													
nuc_implicit_MDM2product2_	Nucleus	6.24613433	Q00987	MDM2product2													
nuc_implicit_MDM2product3_	Nucleus	6.24613433	Q00987	MDM2product3													
nuc_implicit_MDM2product4_	Nucleus	6.24613433	Q00987	MDM2product4													
nuc_implicit_MDM2product5_	Nucleus	6.24613433	Q00987	MDM2product5													
nuc_implicit_MDM2product6_	Nucleus	6.24613433	Q00987	MDM2product6													
nuc_implicit_MDM2product7_	Nucleus	6.24613433	Q00987	MDM2product7													
nuc_implicit_MDM2product8_	Nucleus	6.24613433	Q00987	MDM2product8													
nuc_implicit_MDM2product9_	Nucleus	6.24613433	Q00987	MDM2product9													
nuc_implicit_MDM2pro_	Nucleus	6.24613433	Q00987	MDM2pro													
nuc_implicit_WIP1product1_	Nucleus	6.24613433	O15297	Wip1product1													
nuc_implicit_WIP1product2_	Nucleus	6.24613433	O15297	Wip1product2													
nuc_implicit_WIP1product3_	Nucleus	6.24613433	O15297	Wip1product3													
nuc_implicit_WIP1product4_	Nucleus	6.24613433	O15297	Wip1product4													
nuc_implicit_WIP1product5_	Nucleus	6.24613433	O15297	Wip1product5													
nuc_implicit_WIP1product6_	Nucleus	6.24613433	O15297	Wip1product6													
nuc_implicit_WIP1product7_	Nucleus	6.24613433	O15297	Wip1product7													
nuc_implicit_WIP1product8_	Nucleus	6.24613433	O15297	Wip1product8													
nuc_implicit_WIP1product9_	Nucleus	6.24613433	O15297	Wip1product9													
nuc_implicit_WIP1pro_	Nucleus	6.24613433	O15297	Wip1pro													
nuc_prot_BRCA2_	Nucleus	0.8217966444	P51587	BRCA2	BRCA2	ENSG00000139618											
nuc_prot_MSH6_	Nucleus	45.50365668	P52701	MSH6	MSH6	ENSG00000116062											
nuc_prot_MGMT_	Nucleus	120.2551816	P16455	MGMT	MGMT	ENSG00000170430											
nuc_implicit_damageDSB_	Nucleus	0.0002439506892		damageDSB													
nuc_implicit_damageSSB_	Nucleus	6.05E-06		damageSSB													
nuc_prot_p_p_AKT__MDM2_	Nucleus	0	P31749, Q00987, P31751, Q9Y243	ppAKT_MDM2	AKT1, AKT2, MDM2	ENSG00000142208	ENSG00000105221	ENSG00000135679									
nuc_prot_p_MDM2_	Nucleus	0	Q00987	pMDM2	MDM2	ENSG00000135679											
nuc_prot_CDKN2A_	Nucleus	0	Q8N726	ARF	CDKN2A	ENSG00000147889											
nuc_prot_MDM4_	Nucleus	0.02721568768	O15151	MDM4	MDM4	ENSG00000198625											
nuc_prot_i_TP53__MDM4_	Nucleus	0	P04637, O15151	p53ac_MDM4	TP53, MDM4	ENSG00000141510	ENSG00000198625										
nuc_prot_i_ATM_	Nucleus	1.503759502	Q13315	ATMinac	ATM	ENSG00000149311											
nuc_prot_i_ATR_	Nucleus	2.400324008	Q13535	ATRinac	ATR 	ENSG00000175054											
nuc_prot_RB1_	Nucleus	7983.140007	P06400	pRB	RB1	ENSG00000139687											
nuc_prot_p_RB1_	Nucleus	0.5354928863	P06400	pRBp	RB1	ENSG00000139687											
nuc_prot_p_p_RB1_	Nucleus	0.006971196379	P06400	pRBpp	RB1	ENSG00000139687											
nuc_prot_E2F_	Nucleus	1117.207529	Q01094, Q14209, O00716, Q16254, Q15329, O75461, Q96AV8, A0AVK6	E2F	E2F1, E2F2, E2F3	ENSG00000101412	ENSG00000007968	ENSG00000112242									
nuc_prot_CCND_	Nucleus	0.2333115979	P24385,P30279, P30281	Cd	CCND1, CCND2, CCND3	ENSG00000110092	ENSG00000118971	ENSG00000112576									
